Time (ms),Stage,PosX (m),PosY (m),PosZ (m),VeloX (m/s),VeloY (m/s),VeloZ (m/s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),Bar Altitude,Bar Pressure,Bar Temperature,GPS Longitude,GPS Latitude,GPS Altitude,GPS PosX,GPS PosY,GPS PosZ,GPS Heading Angle,GPS Satellites,IMU AccelX,IMU AccelY,IMU AccelZ,IMU AngVeloX,IMU AngVeloY,IMU AngVeloZ,IMU MagX,IMU MagY,IMU MagZ,IMU OrientationW,IMU OrientationX,IMU OrientationY,IMU OrientationZ,IMU Roll,IMU Pitch,IMU Yaw,PWM,Target Lat,Target Long,Goal Angle,BNO Calibration Sys,BNO Calibration Accel,BNO Calibration Gryo,BNO Calibration Mag
3109.00,Powered Ascent,70.73,-3.31,40.05,7.03,7.03,7.03,0.00,4.71,43.46,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,12.34,4.71,43.46,-18.94,-29.50,-14.19,-53.69,-18.88,-15.50,0.65,0.47,0.38,0.46,74.80,3.80,73.62,0.00,0.00,0.00,-45.00,0,1,3,0
3109.01,Powered Ascent,70.76,-3.30,40.89,7.08,7.08,7.08,0.00,4.75,43.40,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.87,4.75,43.40,-19.00,-30.31,-14.12,-53.69,-18.88,-15.50,0.65,0.47,0.38,0.46,74.59,3.85,73.30,0.00,0.00,0.00,-45.00,0,1,3,0
3109.02,Powered Ascent,70.78,-3.29,41.64,7.11,7.11,7.11,0.00,4.24,43.46,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.59,4.24,43.46,-19.00,-30.31,-14.12,-53.69,-18.88,-15.50,0.65,0.47,0.38,0.46,74.39,3.90,72.97,0.00,0.00,0.00,-45.00,0,1,3,0
3109.03,Powered Ascent,70.79,-3.29,42.31,7.13,7.13,7.13,0.00,5.06,43.38,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.52,5.06,43.38,-18.31,-31.12,-13.50,-49.19,-21.88,-17.00,0.65,0.47,0.38,0.46,74.39,3.90,72.97,0.00,0.00,0.00,-45.00,0,1,3,0
3109.04,Powered Ascent,70.79,-3.29,42.90,7.15,7.15,7.15,0.00,5.63,43.40,45.99,97913.88,29.81,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.73,5.63,43.40,-18.00,-31.81,-13.62,-49.19,-21.88,-17.00,0.66,0.47,0.38,0.45,74.00,3.98,72.30,0.00,0.00,0.00,-45.00,0,1,3,0
3109.05,Powered Ascent,70.82,-3.27,43.98,7.21,7.21,7.21,0.00,5.36,43.46,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.58,5.36,43.46,-17.25,-33.12,-13.81,-49.19,-21.88,-17.00,0.66,0.47,0.38,0.45,73.81,4.02,71.95,0.00,0.00,0.00,-45.00,0,1,3,0
3109.06,Powered Ascent,70.85,-3.26,44.97,7.25,7.25,7.25,0.00,4.60,43.54,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.24,4.60,43.54,-17.19,-33.75,-14.12,-49.19,-21.88,-17.00,0.66,0.47,0.37,0.45,73.62,4.06,71.60,0.00,0.00,0.00,-45.00,0,1,3,0
3109.08,Powered Ascent,70.87,-3.25,45.94,7.30,7.30,7.30,0.00,4.96,43.67,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.76,4.96,43.67,-17.19,-33.75,-14.12,-44.06,-22.06,-20.69,0.66,0.47,0.37,0.45,73.44,4.10,71.24,0.00,0.00,0.00,-45.00,0,1,3,0
3109.08,Powered Ascent,70.87,-3.25,46.69,7.31,7.31,7.31,0.00,5.04,43.62,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.42,5.04,43.62,-16.00,-34.62,-13.69,-44.06,-22.06,-20.69,0.66,0.47,0.37,0.45,73.44,4.10,71.24,0.00,0.00,0.00,-45.00,0,1,3,0
3109.09,Powered Ascent,70.88,-3.25,47.48,7.33,7.33,7.33,0.00,4.57,43.65,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.06,4.57,43.65,-15.56,-35.38,-13.69,-44.06,-22.06,-20.69,0.67,0.47,0.37,0.45,73.08,4.15,70.49,0.00,0.00,0.00,-45.00,0,1,3,0
3109.10,Powered Ascent,70.91,-3.24,48.36,7.37,7.37,7.37,0.00,4.95,43.60,53.34,97828.49,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.95,4.95,43.60,-14.50,-37.75,-13.56,-44.06,-22.06,-20.69,0.67,0.47,0.37,0.44,72.92,4.17,70.10,0.00,0.00,0.00,-45.00,0,1,3,0
3109.11,Powered Ascent,70.93,-3.22,49.45,7.41,7.41,7.41,0.00,4.33,43.77,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.02,4.33,43.77,-13.69,-40.31,-13.38,-44.06,-22.06,-20.69,0.67,0.47,0.36,0.44,72.75,4.17,69.69,0.00,0.00,0.00,-45.00,0,1,3,0
3109.13,Powered Ascent,70.96,-3.21,50.50,7.45,7.45,7.45,0.00,5.27,43.60,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.86,5.27,43.60,-13.69,-40.31,-13.38,-44.06,-22.06,-20.69,0.67,0.47,0.36,0.44,72.59,4.18,69.27,0.00,0.00,0.00,-45.00,0,1,3,0
3109.13,Powered Ascent,70.96,-3.21,51.33,7.46,7.46,7.46,0.00,5.12,43.76,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,11.22,5.12,43.76,-13.31,-41.69,-13.81,-40.75,-26.00,-22.56,0.67,0.47,0.36,0.44,72.59,4.18,69.27,0.00,0.00,0.00,-45.00,0,1,3,0
3109.14,Powered Ascent,70.97,-3.21,52.20,7.47,7.47,7.47,0.00,4.90,43.76,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.93,4.90,43.76,-12.50,-42.81,-14.38,-40.75,-26.00,-22.56,0.68,0.47,0.36,0.44,72.29,4.20,68.38,0.00,0.00,0.00,-45.00,0,1,3,0
3109.16,Powered Ascent,71.01,-3.19,53.24,7.53,7.53,7.53,0.00,4.88,43.80,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.96,4.88,43.80,-10.56,-44.00,-14.00,-40.75,-26.00,-22.56,0.68,0.47,0.35,0.43,72.16,4.19,67.94,0.00,0.00,0.00,-45.00,0,1,3,0
3109.17,Powered Ascent,71.03,-3.18,54.18,7.56,7.56,7.56,0.00,4.68,43.79,59.55,97756.39,29.71,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.67,4.68,43.79,-10.19,-44.69,-14.00,-40.75,-26.00,-22.56,0.68,0.47,0.35,0.43,72.02,4.19,67.48,0.00,0.00,0.00,-45.00,0,1,3,0
3109.18,Powered Ascent,71.05,-3.17,55.25,7.59,7.59,7.59,0.00,4.73,43.74,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.43,4.73,43.74,-10.19,-44.69,-14.00,-36.25,-28.19,-23.50,0.69,0.47,0.35,0.43,71.90,4.18,67.02,0.00,0.00,0.00,-45.00,0,1,3,0
3109.19,Powered Ascent,71.06,-3.17,56.22,7.60,7.60,7.60,0.00,4.36,43.86,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.51,4.36,43.86,-9.50,-45.44,-13.69,-36.25,-28.19,-23.50,0.69,0.47,0.35,0.43,71.90,4.18,67.02,0.00,0.00,0.00,-45.00,0,1,3,0
3109.19,Powered Ascent,71.06,-3.16,57.09,7.61,7.61,7.61,0.00,4.08,43.93,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.50,4.08,43.93,-8.62,-46.81,-13.44,-36.25,-28.19,-23.50,0.69,0.47,0.34,0.42,71.68,4.13,66.06,0.00,0.00,0.00,-45.00,0,1,3,0
3109.21,Powered Ascent,71.10,-3.15,58.20,7.65,7.65,7.65,0.00,4.32,43.76,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,9.99,4.32,43.76,-7.50,-48.75,-13.19,-36.25,-28.19,-23.50,0.69,0.48,0.34,0.42,71.57,4.11,65.55,0.00,0.00,0.00,-45.00,0,1,3,0
3109.22,Powered Ascent,71.12,-3.14,59.22,7.68,7.68,7.68,0.00,4.10,43.94,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.43,4.10,43.94,-6.19,-51.69,-13.12,-36.25,-28.19,-23.50,0.70,0.48,0.34,0.42,71.47,4.07,65.04,0.00,0.00,0.00,-45.00,0,1,3,0
3109.23,Powered Ascent,71.15,-3.13,60.22,7.72,7.72,7.72,0.00,4.31,43.86,65.68,97685.28,29.80,-771902976.00,427047328.00,232.91,69.36,-3.73,-43.20,309.36,14,10.23,4.31,43.86,-6.19,-51.69,-13.12,-36.25,-28.19,-23.50,0.70,0.48,0.34,0.42,71.38,4.02,64.51,0.00,0.00,0.00,-45.00,0,1,3,0
